Gênero/Especie,Nome_popular,Família_Botânica,Tipo,Hábitat,Região
"Calliandra dysantha","Flor-do-cerrado","Fabaceae","Subarbusto","Cerrado (lato sensu), Campo rupestre (lato sensu)","PI, BA, MT, GO, DF, MS, MG, SP, PR"
"Calliandra mucugeana","","Fabaceae","Arbusto","Campo rupestre (lato sensu)","BA"
"Calliandra viscidula","","Fabaceae","Arbusto","Campo rupestre (lato sensu)","BA"
"Camptosema isopetalum","","Fabaceae","Arbusto","Cerrado (lato sensu)","BA, MG, ES, RJ"
"Camptosema scarlatium","","Fabaceae","Trepadeira","Mata ciliar, mata de galeria, Cerrado (stricto sensu), Campo rupestre (stricto sensu)","CE, BA, GO, DF, MG, ES, SP, RJ, PR, RS"
"Centrolobium tomentosum","Araribá","Fabaceae","Árvore","Mata ciliar, mata seca, área antrópica","BA, GO, DF, MG, ES, SP, RJ, RS, PR, SC"
"Chamaecrista cathartica","","Fabaceae","Arbusto , subarbusto","Cerrado (stricto sensu), campo sujo, vereda","BA, GO, DF, MG, SP, PR"
"Chamaecrista conferta","","Fabaceae","Subarbusto","Campo limpo, campo rupestre (lato sensu)","TO, PI, GO, DF, MG"
"Chamaecrista desvauxii","","Fabaceae","Subarbusto","Campo rupestre (lato sensu)","BA, MG"
"Chamaecrista lundii","","Fabaceae","Arbusto , subarbusto","Cerrado (stricto sensu), campo sujo","BA, GO, DF, MG"
"Chamaecrista flexuosa","","Fabaceae","Subarbusto","Cerrado (stricto sensu), campo sujo","RR, PA, AM, TO, RO, MA, PI, CE, RN, PB, PE, BA, AL, MT, GO, DF, MS, MG, ES, SP, RJ, PR, SC, RS"
"Chamaecrista racemosa","","Fabaceae","Subarbusto","Cerrado (stricto sensu)","PA, TO, BA, MT, GO, MS, MG"
"Chamaecrista rotundata","","Fabaceae","Subarbusto","Campo rupestre (lato sensu), transição com mata atlântica","MG"
"Chamaecrista ursina","","Fabaceae","Arbusto","Borda de mata de galeria, cerrado (lato sensu), campo rupestre (lato sensu)","MG"
"Clitoria guianensis","","Fabaceae","Subarbusto","Cerrado (lato sensu), campo","RR, AM, PA, AM, TO, MA, PI, CE, PE, BA, MT, GO, DF, MS, MG, ES, SP, PR"
"Dalbergia miscolobium","Jacarandá-do-cerrado, cabiúna","Fabaceae","Árvore","Borda de mata de galeria, cerradão, cerrado (stricto sensu), campo rupestre (lato sensu), carrasco","MA, PI, CE, BA, MT, GO, DF, MS, MG, SP, PR"
"Desmodium discolor","","Fabaceae","Erva","Mata de galeria, cerradão, Cerrado (lato sensu), vereda","AC, MT, GO, DF, MS, MG, SP, RJ, PR, MA, PI, CE, RN, PB, PE, AL, SE, BA"
"Dioclea grandiflora","","Fabaceae","Trepadeira","Mata seca","PI, CE, RN, PB, PE, BA, AL, SE"
"Dypterix alata","Barú","Fabaceae","Árvore","Mata de galeria, mata seca semidecídua, cerradão, Cerrado (stricto sensu), área antropica","TO, MA, PI, CE, BA, MT, GO, DF, MS, MG, SP"
"Enterolobium gummiferum","Rosquinha","Fabaceae","Árvore","Borda de mata de galeria, cerradão, Cerrado (stricto sensu)","PA, MA, PI, BA, MT, GO, DF, MS, MG, SP"
"Eriosema defoliatum","","Fabaceae","Subarbusto","Cerrado (stricto sensu), campo sujo","GO, DF, MG"
"Eriosema glaziovii","","Fabaceae","Erva","Cerrado (stricto sensu), campo sujo","GO, DF"
"Eriosema stenophyllum","","Fabaceae","Erva","Cerrado (lato sensu)","GO, DF, MG"
"Erythrina speciosa","Mulungu, canivete, suinã","Fabaceae","Árvore","Mata seca, área antrópica","BA, GO, DF, MG, ES, SP, RJ, PR, SC"
